region,position,song_name,song_id,views,duration_ms,popularity,artist_name,artist_id,album_name,album_id,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genres
Australia,15,favorite crime,5JCoSi02qi3jJeHdZXMmR8,1035182,152666,90,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,SOUR,6s84u2TUpR3wdUv4NgKA2j,2021-05-21,0.369,0.272,9,-10.497,1,0.0364,0.866,0.0,0.147,0.218,172.929,['pop']
Australia,16,"1 step forward, 3 steps back",4wcBRRpIfesgcyUtis7PEg,1026148,163586,89,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,SOUR,6s84u2TUpR3wdUv4NgKA2j,2021-05-21,0.473,0.203,2,-12.627,1,0.102,0.941,0.0,0.126,0.419,168.884,['pop']
Australia,17,Butter,3VqeTFIvhxu3DIe4eZVzGq,971369,164441,98,BTS,3Nrfpe0tUJi4K4DXYWgMUX,Butter,2BDhPi2XCYujYxU6VM0QaD,2021-05-21,0.759,0.459,8,-5.187,1,0.0948,0.00323,0.0,0.0906,0.695,109.997,"['k-pop', 'k-pop boy group']"
Australia,18,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,4cG7HUWYHBV6R6tHn1gxrl,962366,169153,94,Riton,7i9j813KFoSBMldGqlh2Z1,Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit],39qsmsNRXjVaFqTZj9af0j,2021-01-15,0.824,0.862,2,-3.424,1,0.126,0.0076,0.000132,0.303,0.801,122.98,"['dance pop', 'house', 'pop dance', 'tropical house', 'uk dance']"
Australia,19,RAPSTAR,43PGPuHIlVOc04jrZVh9L6,932811,165925,95,Polo G,6AgTAQt8XS6jRWi4sX7w49,RAPSTAR,0SVzFcpsByITKgURaxXdsV,2021-04-09,0.789,0.536,6,-6.862,1,0.242,0.41,0.0,0.129,0.437,81.039,['chicago rap']
Australia,20,"jealousy, jealousy",0MMyJUC3WNnFS1lit5pTjk,913864,173160,88,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,SOUR,6s84u2TUpR3wdUv4NgKA2j,2021-05-21,0.695,0.575,10,-6.334,0,0.116,0.198,0.0,0.0614,0.699,163.929,['pop']
Australia,21,hope ur ok,1zejeOnykpCoyVSit6Bwp3,836038,209560,87,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,SOUR,6s84u2TUpR3wdUv4NgKA2j,2021-05-21,0.443,0.298,0,-12.181,1,0.0644,0.388,1e-05,0.103,0.172,77.253,['pop']
Australia,22,The Business,6f3Slt0GbA2bPZlz0aIFXN,831274,164000,93,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,The Business,2adSO4KU3FDjeM1PXCRDZm,2020-09-16,0.798,0.62,8,-7.079,0,0.232,0.414,0.0192,0.112,0.235,120.031,"['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'house', 'pop', 'pop dance', 'slap house', 'trance', 'tropical house']"
Australia,23,WITHOUT YOU,27OeeYzk6klgBh83TSvGMA,773624,161384,91,The Kid LAROI,2tIP7SsRs7vjIcLrU85W8J,F*CK LOVE (SAVAGE),3YjfdLdpQcVI72uKhooZst,2020-11-06,0.662,0.413,0,-7.357,1,0.0299,0.213,0.0,0.134,0.467,93.005,['australian hip hop']
Australia,24,Cover Me In Sunshine,0UKUfxIkDAMZz7hMdiVX3m,749794,138573,66,P!nk,1KCSPY1glIKqW2TotWuXOR,All I Know So Far: Setlist,061vVdNVxwouz0INdQeOkn,2021-05-21,0.473,0.592,5,-6.859,1,0.138,0.0528,0.0,0.131,0.292,159.7,"['dance pop', 'pop', 'post-teen pop']"
Australia,25,BED,0siYMEsGrzzzlWLXK5zJfS,735634,178087,89,Joel Corry,6DgP9otnZw5z6daOntINxp,BED,36tML2tWjDrbLW4FgrX17U,2021-02-26,0.671,0.782,6,-4.593,1,0.0341,0.0142,0.00221,0.333,0.618,123.989,"['dance pop', 'edm', 'house', 'pop', 'pop dance', 'tropical house', 'uk dance']"
Australia,26,Your Love (9PM),5YaskwnGDZFDRipaqzbwQx,716828,150052,90,ATB,7jZM5w05mGhw6wTB1okhD9,Your Love (9PM),7F9yYqHRtIZnEGF2tANI4b,2021-01-15,0.669,0.784,7,-5.603,1,0.112,0.194,6.28e-06,0.115,0.517,125.993,"['german dance', 'german techno', 'german trance', 'trance']"
